"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",0,1,2,1,2,2,2,3,2,2,3,3,4,4,4,3,3,3,4,4,5,5,4,4,3,3
"2",1,0,1,2,1,2,3,4,3,3,4,4,5,4,4,3,3,3,4,4,5,5,4,5,4,4
"3",2,1,0,2,2,1,3,3,2,3,4,3,4,3,3,2,2,2,3,3,4,4,3,4,4,3
"4",1,2,2,0,1,1,1,2,1,1,2,2,3,3,3,2,2,2,3,3,4,4,3,3,2,2
"5",2,1,2,1,0,1,2,3,2,2,3,3,4,3,3,2,2,2,3,3,4,4,3,4,3,3
"6",2,2,1,1,1,0,2,2,1,2,3,2,3,2,2,1,1,1,2,2,3,3,2,3,3,2
"7",2,3,3,1,2,2,0,1,2,2,3,3,4,4,4,3,3,3,4,4,5,5,4,4,3,3
"8",3,4,3,2,3,2,1,0,1,2,3,2,3,4,3,3,3,3,4,4,4,4,3,3,3,2
"9",2,3,2,1,2,1,2,1,0,1,2,1,2,3,2,2,2,2,3,3,3,3,2,2,2,1
"10",2,3,3,1,2,2,2,2,1,0,1,1,2,3,2,3,3,3,4,4,3,3,2,2,1,1
"11",3,4,4,2,3,3,3,3,2,1,0,1,2,3,2,3,4,4,5,4,3,3,2,2,1,2
"12",3,4,3,2,3,2,3,2,1,1,1,0,1,2,1,2,3,3,4,3,2,2,1,1,2,2
"13",4,5,4,3,4,3,4,3,2,2,2,1,0,1,2,2,4,4,4,3,3,3,2,2,3,3
"14",4,4,3,3,3,2,4,4,3,3,3,2,1,0,1,1,3,3,3,2,2,3,2,3,4,4
"15",4,4,3,3,3,2,4,3,2,2,2,1,2,1,0,1,3,3,3,2,1,2,2,2,3,3
"16",3,3,2,2,2,1,3,3,2,3,3,2,2,1,1,0,2,2,2,1,2,2,1,2,3,3
"17",3,3,2,2,2,1,3,3,2,3,4,3,4,3,3,2,0,1,2,2,3,4,3,4,4,3
"18",3,3,2,2,2,1,3,3,2,3,4,3,4,3,3,2,1,0,1,1,2,3,3,4,4,3
"19",4,4,3,3,3,2,4,4,3,4,5,4,4,3,3,2,2,1,0,1,2,3,3,4,5,4
"20",4,4,3,3,3,2,4,4,3,4,4,3,3,2,2,1,2,1,1,0,1,2,2,3,4,4
"21",5,5,4,4,4,3,5,4,3,3,3,2,3,2,1,2,3,2,2,1,0,1,1,2,3,4
"22",5,5,4,4,4,3,5,4,3,3,3,2,3,3,2,2,4,3,3,2,1,0,1,2,3,4
"23",4,4,3,3,3,2,4,3,2,2,2,1,2,2,2,1,3,3,3,2,1,1,0,1,2,3
"24",4,5,4,3,4,3,4,3,2,2,2,1,2,3,2,2,4,4,4,3,2,2,1,0,1,2
"25",3,4,4,2,3,3,3,3,2,1,1,2,3,4,3,3,4,4,5,4,3,3,2,1,0,1
"26",3,4,3,2,3,2,3,2,1,1,2,2,3,4,3,3,3,3,4,4,4,4,3,2,1,0
